
Tempo total de execução: 0.561961 segundo(s).

Origem: 1 	 Destino: 0 	 Distância: 100000000
Origem: 1 	 Destino: 1 	 Distância: 0
Origem: 1 	 Destino: 2 	 Distância: 5
Origem: 1 	 Destino: 3 	 Distância: 10
Origem: 1 	 Destino: 4 	 Distância: 15
Origem: 1 	 Destino: 5 	 Distância: 20
Origem: 1 	 Destino: 6 	 Distância: 25
Origem: 1 	 Destino: 7 	 Distância: 30
Origem: 1 	 Destino: 8 	 Distância: 35
Origem: 1 	 Destino: 9 	 Distância: 100000000
Origem: 1 	 Destino: 10 	 Distância: 100000000
Origem: 1 	 Destino: 11 	 Distância: 100000000
Origem: 1 	 Destino: 12 	 Distância: 100000000
Origem: 1 	 Destino: 13 	 Distância: 100000000
Origem: 1 	 Destino: 14 	 Distância: 100000000
Origem: 1 	 Destino: 15 	 Distância: 100000000
Origem: 1 	 Destino: 16 	 Distância: 100000000
Origem: 1 	 Destino: 17 	 Distância: 100000000
Origem: 1 	 Destino: 18 	 Distância: 100000000
Origem: 1 	 Destino: 19 	 Distância: 100000000
Origem: 1 	 Destino: 20 	 Distância: 100000000
Origem: 1 	 Destino: 21 	 Distância: 100000000
Origem: 1 	 Destino: 22 	 Distância: 100000000
Origem: 1 	 Destino: 23 	 Distância: 100000000
Origem: 1 	 Destino: 24 	 Distância: 100000000
Origem: 1 	 Destino: 25 	 Distância: 100000000
Origem: 1 	 Destino: 26 	 Distância: 100000000
Origem: 1 	 Destino: 27 	 Distância: 100000000
Origem: 1 	 Destino: 28 	 Distância: 100000000
Origem: 1 	 Destino: 29 	 Distância: 100000000
Origem: 1 	 Destino: 30 	 Distância: 100000000
Origem: 1 	 Destino: 31 	 Distância: 100000000
Origem: 1 	 Destino: 32 	 Distância: 100000000
Origem: 1 	 Destino: 33 	 Distância: 100000000
Origem: 1 	 Destino: 34 	 Distância: 100000000
Origem: 1 	 Destino: 35 	 Distância: 100000000
Origem: 1 	 Destino: 36 	 Distância: 18
Origem: 1 	 Destino: 37 	 Distância: 23
Origem: 1 	 Destino: 38 	 Distância: 28
Origem: 1 	 Destino: 39 	 Distância: 33
Origem: 1 	 Destino: 40 	 Distância: 38
Origem: 1 	 Destino: 41 	 Distância: 43
Origem: 1 	 Destino: 42 	 Distância: 48
Origem: 1 	 Destino: 43 	 Distância: 100000000
Origem: 1 	 Destino: 44 	 Distância: 100000000
Origem: 1 	 Destino: 45 	 Distância: 100000000
Origem: 1 	 Destino: 46 	 Distância: 100000000
Origem: 1 	 Destino: 47 	 Distância: 100000000
Origem: 1 	 Destino: 48 	 Distância: 100000000
Origem: 1 	 Destino: 49 	 Distância: 100000000
Origem: 1 	 Destino: 50 	 Distância: 100000000
Origem: 1 	 Destino: 51 	 Distância: 100000000
