
Tempo total de execução: 0.006243 segundo(s).

Origem: 0 	 Destino: 0 	 Distância: 0
Origem: 0 	 Destino: 1 	 Distância: 1000000
Origem: 0 	 Destino: 2 	 Distância: 1000000
Origem: 0 	 Destino: 3 	 Distância: 1000000
Origem: 0 	 Destino: 4 	 Distância: 1000000
Origem: 0 	 Destino: 5 	 Distância: 1000000
Origem: 0 	 Destino: 6 	 Distância: 1000000
Origem: 0 	 Destino: 7 	 Distância: 1000000
Origem: 0 	 Destino: 8 	 Distância: 1000000
Origem: 0 	 Destino: 9 	 Distância: 1000000
Origem: 0 	 Destino: 10 	 Distância: 1000000
Origem: 0 	 Destino: 11 	 Distância: 1000000
Origem: 0 	 Destino: 12 	 Distância: 1000000
Origem: 0 	 Destino: 13 	 Distância: 1000000
Origem: 0 	 Destino: 14 	 Distância: 1000000
Origem: 0 	 Destino: 15 	 Distância: 1000000
Origem: 0 	 Destino: 16 	 Distância: 1000000
Origem: 0 	 Destino: 17 	 Distância: 1000000
Origem: 0 	 Destino: 18 	 Distância: 1000000
Origem: 0 	 Destino: 19 	 Distância: 1000000
Origem: 0 	 Destino: 20 	 Distância: 1000000
Origem: 0 	 Destino: 21 	 Distância: 1000000
Origem: 0 	 Destino: 22 	 Distância: 1000000
Origem: 0 	 Destino: 23 	 Distância: 1000000
Origem: 0 	 Destino: 24 	 Distância: 1000000
Origem: 0 	 Destino: 25 	 Distância: 1000000
Origem: 0 	 Destino: 26 	 Distância: 1000000
Origem: 0 	 Destino: 27 	 Distância: 1000000
Origem: 0 	 Destino: 28 	 Distância: 1000000
Origem: 0 	 Destino: 29 	 Distância: 1000000
Origem: 0 	 Destino: 30 	 Distância: 1000000
Origem: 0 	 Destino: 31 	 Distância: 1000000
Origem: 0 	 Destino: 32 	 Distância: 1000000
Origem: 0 	 Destino: 33 	 Distância: 1000000
Origem: 0 	 Destino: 34 	 Distância: 1000000
Origem: 0 	 Destino: 35 	 Distância: 1000000
Origem: 0 	 Destino: 36 	 Distância: 1000000
Origem: 0 	 Destino: 37 	 Distância: 1000000
Origem: 0 	 Destino: 38 	 Distância: 1000000
Origem: 0 	 Destino: 39 	 Distância: 1000000
Origem: 0 	 Destino: 40 	 Distância: 1000000
Origem: 0 	 Destino: 41 	 Distância: 1000000
Origem: 0 	 Destino: 42 	 Distância: 1000000
Origem: 0 	 Destino: 43 	 Distância: 1000000
Origem: 0 	 Destino: 44 	 Distância: 1000000
Origem: 0 	 Destino: 45 	 Distância: 1000000
Origem: 0 	 Destino: 46 	 Distância: 1000000
Origem: 0 	 Destino: 47 	 Distância: 1000000
Origem: 0 	 Destino: 48 	 Distância: 1000000
Origem: 0 	 Destino: 49 	 Distância: 1000000
Origem: 0 	 Destino: 50 	 Distância: 1000000
Origem: 0 	 Destino: 51 	 Distância: 1000000
Origem: 0 	 Destino: 52 	 Distância: 1000000
Origem: 0 	 Destino: 53 	 Distância: 1000000
Origem: 0 	 Destino: 54 	 Distância: 1000000
Origem: 0 	 Destino: 55 	 Distância: 1000000
Origem: 0 	 Destino: 56 	 Distância: 1000000
Origem: 0 	 Destino: 57 	 Distância: 1000000
Origem: 0 	 Destino: 58 	 Distância: 1000000
Origem: 0 	 Destino: 59 	 Distância: 1000000
Origem: 0 	 Destino: 60 	 Distância: 1000000
Origem: 0 	 Destino: 61 	 Distância: 1000000
Origem: 0 	 Destino: 62 	 Distância: 1000000
Origem: 0 	 Destino: 63 	 Distância: 1000000
Origem: 0 	 Destino: 64 	 Distância: 1000000
Origem: 0 	 Destino: 65 	 Distância: 1000000
Origem: 0 	 Destino: 66 	 Distância: 1000000
Origem: 0 	 Destino: 67 	 Distância: 1000000
