
Tempo total de execução: 0.006273 segundo(s).

Origem: 1 	 Destino: 0 	 Distância: 0
Origem: 1 	 Destino: 1 	 Distância: 1000000
Origem: 1 	 Destino: 2 	 Distância: 1000000
Origem: 1 	 Destino: 3 	 Distância: 1000000
Origem: 1 	 Destino: 4 	 Distância: 1000000
Origem: 1 	 Destino: 5 	 Distância: 1000000
Origem: 1 	 Destino: 6 	 Distância: 1000000
Origem: 1 	 Destino: 7 	 Distância: 1000000
Origem: 1 	 Destino: 8 	 Distância: 1000000
Origem: 1 	 Destino: 9 	 Distância: 1000000
Origem: 1 	 Destino: 10 	 Distância: 1000000
Origem: 1 	 Destino: 11 	 Distância: 1000000
Origem: 1 	 Destino: 12 	 Distância: 1000000
Origem: 1 	 Destino: 13 	 Distância: 1000000
Origem: 1 	 Destino: 14 	 Distância: 1000000
Origem: 1 	 Destino: 15 	 Distância: 1000000
Origem: 1 	 Destino: 16 	 Distância: 1000000
Origem: 1 	 Destino: 17 	 Distância: 1000000
Origem: 1 	 Destino: 18 	 Distância: 1000000
Origem: 1 	 Destino: 19 	 Distância: 1000000
Origem: 1 	 Destino: 20 	 Distância: 1000000
Origem: 1 	 Destino: 21 	 Distância: 1000000
Origem: 1 	 Destino: 22 	 Distância: 1000000
Origem: 1 	 Destino: 23 	 Distância: 1000000
Origem: 1 	 Destino: 24 	 Distância: 1000000
Origem: 1 	 Destino: 25 	 Distância: 1000000
Origem: 1 	 Destino: 26 	 Distância: 1000000
Origem: 1 	 Destino: 27 	 Distância: 1000000
Origem: 1 	 Destino: 28 	 Distância: 1000000
Origem: 1 	 Destino: 29 	 Distância: 1000000
Origem: 1 	 Destino: 30 	 Distância: 1000000
Origem: 1 	 Destino: 31 	 Distância: 1000000
Origem: 1 	 Destino: 32 	 Distância: 1000000
Origem: 1 	 Destino: 33 	 Distância: 1000000
Origem: 1 	 Destino: 34 	 Distância: 1000000
Origem: 1 	 Destino: 35 	 Distância: 1000000
Origem: 1 	 Destino: 36 	 Distância: 1000000
Origem: 1 	 Destino: 37 	 Distância: 1000000
Origem: 1 	 Destino: 38 	 Distância: 1000000
Origem: 1 	 Destino: 39 	 Distância: 1000000
Origem: 1 	 Destino: 40 	 Distância: 1000000
Origem: 1 	 Destino: 41 	 Distância: 1000000
Origem: 1 	 Destino: 42 	 Distância: 1000000
Origem: 1 	 Destino: 43 	 Distância: 1000000
Origem: 1 	 Destino: 44 	 Distância: 1000000
Origem: 1 	 Destino: 45 	 Distância: 1000000
Origem: 1 	 Destino: 46 	 Distância: 1000000
Origem: 1 	 Destino: 47 	 Distância: 1000000
Origem: 1 	 Destino: 48 	 Distância: 1000000
Origem: 1 	 Destino: 49 	 Distância: 1000000
Origem: 1 	 Destino: 50 	 Distância: 1000000
Origem: 1 	 Destino: 51 	 Distância: 1000000
Origem: 1 	 Destino: 52 	 Distância: 1000000
Origem: 1 	 Destino: 53 	 Distância: 1000000
Origem: 1 	 Destino: 54 	 Distância: 1000000
Origem: 1 	 Destino: 55 	 Distância: 1000000
Origem: 1 	 Destino: 56 	 Distância: 1000000
Origem: 1 	 Destino: 57 	 Distância: 1000000
Origem: 1 	 Destino: 58 	 Distância: 1000000
Origem: 1 	 Destino: 59 	 Distância: 1000000
Origem: 1 	 Destino: 60 	 Distância: 1000000
Origem: 1 	 Destino: 61 	 Distância: 1000000
Origem: 1 	 Destino: 62 	 Distância: 1000000
Origem: 1 	 Destino: 63 	 Distância: 1000000
Origem: 1 	 Destino: 64 	 Distância: 1000000
Origem: 1 	 Destino: 65 	 Distância: 1000000
Origem: 1 	 Destino: 66 	 Distância: 1000000
Origem: 1 	 Destino: 67 	 Distância: 1000000
Origem: 1 	 Destino: 68 	 Distância: 1000000
Origem: 1 	 Destino: 69 	 Distância: 1000000
Origem: 1 	 Destino: 70 	 Distância: 1000000
Origem: 1 	 Destino: 71 	 Distância: 1000000
Origem: 1 	 Destino: 72 	 Distância: 1000000
Origem: 1 	 Destino: 73 	 Distância: 1000000
Origem: 1 	 Destino: 74 	 Distância: 1000000
Origem: 1 	 Destino: 75 	 Distância: 1000000
Origem: 1 	 Destino: 76 	 Distância: 1000000
Origem: 1 	 Destino: 77 	 Distância: 1000000
Origem: 1 	 Destino: 78 	 Distância: 1000000
Origem: 1 	 Destino: 79 	 Distância: 1000000
Origem: 1 	 Destino: 80 	 Distância: 1000000
Origem: 1 	 Destino: 81 	 Distância: 1000000
Origem: 1 	 Destino: 82 	 Distância: 1000000
Origem: 1 	 Destino: 83 	 Distância: 1000000
Origem: 1 	 Destino: 84 	 Distância: 1000000
Origem: 1 	 Destino: 85 	 Distância: 1000000
Origem: 1 	 Destino: 86 	 Distância: 1000000
Origem: 1 	 Destino: 87 	 Distância: 1000000
Origem: 1 	 Destino: 88 	 Distância: 1000000
Origem: 1 	 Destino: 89 	 Distância: 1000000
Origem: 1 	 Destino: 90 	 Distância: 1000000
Origem: 1 	 Destino: 91 	 Distância: 1000000
Origem: 1 	 Destino: 92 	 Distância: 1000000
Origem: 1 	 Destino: 93 	 Distância: 1000000
Origem: 1 	 Destino: 94 	 Distância: 1000000
Origem: 1 	 Destino: 95 	 Distância: 1000000
Origem: 1 	 Destino: 96 	 Distância: 1000000
Origem: 1 	 Destino: 97 	 Distância: 1000000
Origem: 1 	 Destino: 98 	 Distância: 1000000
Origem: 1 	 Destino: 99 	 Distância: 1000000
Origem: 1 	 Destino: 100 	 Distância: 1000000
Origem: 1 	 Destino: 101 	 Distância: 1000000
Origem: 1 	 Destino: 102 	 Distância: 1000000
Origem: 1 	 Destino: 103 	 Distância: 1000000
Origem: 1 	 Destino: 104 	 Distância: 1000000
Origem: 1 	 Destino: 105 	 Distância: 1000000
Origem: 1 	 Destino: 106 	 Distância: 1000000
Origem: 1 	 Destino: 107 	 Distância: 1000000
Origem: 1 	 Destino: 108 	 Distância: 1000000
Origem: 1 	 Destino: 109 	 Distância: 1000000
Origem: 1 	 Destino: 110 	 Distância: 1000000
Origem: 1 	 Destino: 111 	 Distância: 1000000
Origem: 1 	 Destino: 112 	 Distância: 1000000
Origem: 1 	 Destino: 113 	 Distância: 1000000
Origem: 1 	 Destino: 114 	 Distância: 1000000
Origem: 1 	 Destino: 115 	 Distância: 1000000
Origem: 1 	 Destino: 116 	 Distância: 1000000
Origem: 1 	 Destino: 117 	 Distância: 1000000
Origem: 1 	 Destino: 118 	 Distância: 1000000
Origem: 1 	 Destino: 119 	 Distância: 1000000
Origem: 1 	 Destino: 120 	 Distância: 1000000
Origem: 1 	 Destino: 121 	 Distância: 1000000
Origem: 1 	 Destino: 122 	 Distância: 1000000
Origem: 1 	 Destino: 123 	 Distância: 1000000
Origem: 1 	 Destino: 124 	 Distância: 1000000
Origem: 1 	 Destino: 125 	 Distância: 1000000
Origem: 1 	 Destino: 126 	 Distância: 1000000
Origem: 1 	 Destino: 127 	 Distância: 1000000
Origem: 1 	 Destino: 128 	 Distância: 1000000
Origem: 1 	 Destino: 129 	 Distância: 1000000
Origem: 1 	 Destino: 130 	 Distância: 1000000
Origem: 1 	 Destino: 131 	 Distância: 1000000
Origem: 1 	 Destino: 132 	 Distância: 1000000
Origem: 1 	 Destino: 133 	 Distância: 1000000
Origem: 1 	 Destino: 134 	 Distância: 1000000
Origem: 1 	 Destino: 135 	 Distância: 1000000
Origem: 1 	 Destino: 136 	 Distância: 1000000
Origem: 1 	 Destino: 137 	 Distância: 1000000
Origem: 1 	 Destino: 138 	 Distância: 1000000
Origem: 1 	 Destino: 139 	 Distância: 1000000
Origem: 1 	 Destino: 140 	 Distância: 1000000
Origem: 1 	 Destino: 141 	 Distância: 1000000
Origem: 1 	 Destino: 142 	 Distância: 1000000
Origem: 1 	 Destino: 143 	 Distância: 1000000
Origem: 1 	 Destino: 144 	 Distância: 1000000
Origem: 1 	 Destino: 145 	 Distância: 1000000
Origem: 1 	 Destino: 146 	 Distância: 1000000
Origem: 1 	 Destino: 147 	 Distância: 1000000
Origem: 1 	 Destino: 148 	 Distância: 1000000
Origem: 1 	 Destino: 149 	 Distância: 1000000
Origem: 1 	 Destino: 150 	 Distância: 1000000
Origem: 1 	 Destino: 151 	 Distância: 1000000
Origem: 1 	 Destino: 152 	 Distância: 1000000
Origem: 1 	 Destino: 153 	 Distância: 1000000
Origem: 1 	 Destino: 154 	 Distância: 1000000
Origem: 1 	 Destino: 155 	 Distância: 1000000
Origem: 1 	 Destino: 156 	 Distância: 1000000
Origem: 1 	 Destino: 157 	 Distância: 1000000
Origem: 1 	 Destino: 158 	 Distância: 1000000
Origem: 1 	 Destino: 159 	 Distância: 1000000
Origem: 1 	 Destino: 160 	 Distância: 1000000
Origem: 1 	 Destino: 161 	 Distância: 1000000
Origem: 1 	 Destino: 162 	 Distância: 1000000
Origem: 1 	 Destino: 163 	 Distância: 1000000
Origem: 1 	 Destino: 164 	 Distância: 1000000
Origem: 1 	 Destino: 165 	 Distância: 1000000
Origem: 1 	 Destino: 166 	 Distância: 1000000
Origem: 1 	 Destino: 167 	 Distância: 1000000
Origem: 1 	 Destino: 168 	 Distância: 1000000
Origem: 1 	 Destino: 169 	 Distância: 1000000
Origem: 1 	 Destino: 170 	 Distância: 1000000
Origem: 1 	 Destino: 171 	 Distância: 1000000
Origem: 1 	 Destino: 172 	 Distância: 1000000
Origem: 1 	 Destino: 173 	 Distância: 1000000
Origem: 1 	 Destino: 174 	 Distância: 1000000
Origem: 1 	 Destino: 175 	 Distância: 1000000
Origem: 1 	 Destino: 176 	 Distância: 1000000
Origem: 1 	 Destino: 177 	 Distância: 1000000
Origem: 1 	 Destino: 178 	 Distância: 1000000
Origem: 1 	 Destino: 179 	 Distância: 1000000
Origem: 1 	 Destino: 180 	 Distância: 1000000
Origem: 1 	 Destino: 181 	 Distância: 1000000
Origem: 1 	 Destino: 182 	 Distância: 1000000
Origem: 1 	 Destino: 183 	 Distância: 1000000
Origem: 1 	 Destino: 184 	 Distância: 1000000
Origem: 1 	 Destino: 185 	 Distância: 1000000
Origem: 1 	 Destino: 186 	 Distância: 1000000
Origem: 1 	 Destino: 187 	 Distância: 1000000
Origem: 1 	 Destino: 188 	 Distância: 1000000
Origem: 1 	 Destino: 189 	 Distância: 1000000
Origem: 1 	 Destino: 190 	 Distância: 1000000
Origem: 1 	 Destino: 191 	 Distância: 1000000
Origem: 1 	 Destino: 192 	 Distância: 1000000
Origem: 1 	 Destino: 193 	 Distância: 1000000
Origem: 1 	 Destino: 194 	 Distância: 1000000
Origem: 1 	 Destino: 195 	 Distância: 1000000
Origem: 1 	 Destino: 196 	 Distância: 1000000
Origem: 1 	 Destino: 197 	 Distância: 1000000
Origem: 1 	 Destino: 198 	 Distância: 1000000
Origem: 1 	 Destino: 199 	 Distância: 1000000
Origem: 1 	 Destino: 200 	 Distância: 1000000
Origem: 1 	 Destino: 201 	 Distância: 1000000
Origem: 1 	 Destino: 202 	 Distância: 1000000
Origem: 1 	 Destino: 203 	 Distância: 1000000
Origem: 1 	 Destino: 204 	 Distância: 1000000
Origem: 1 	 Destino: 205 	 Distância: 1000000
